path,bytes_uncompressed,over_2mb,crawl_window_bytes,body_start_byte,h1_pos_byte,h1_in_first_2mb,top20_byte_cutoff,h1_in_top20_html,top20_body_byte_cutoff,h1_in_top20_body,uniqueness_marker,uniqueness_pos_byte,uniqueness_in_first_2mb,uniqueness_in_top20_html,uniqueness_in_top20_body
assisted-living/alabama/cities/tallassee/index.html,16599,false,16599,2296,2887,true,3319,true,5156,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/thomasville/index.html,16707,false,16707,2328,2919,true,3341,true,5203,true,Local Data Signals,3088,true,true,true
assisted-living/alabama/cities/troy/index.html,16213,false,16213,2216,2807,true,3242,true,5015,true,Local Data Signals,2969,true,true,true
assisted-living/alabama/cities/trussville/index.html,16644,false,16644,2312,2903,true,3328,true,5178,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/tuscaloosa/index.html,16638,false,16638,2312,2903,true,3327,true,5177,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/tuscumbia/index.html,17685,false,17685,2296,2887,true,3537,true,5373,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/tuskegee/index.html,16565,false,16565,2280,2871,true,3313,true,5137,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/union-springs/index.html,16752,false,16752,2360,2951,true,3350,true,5238,true,Local Data Signals,3122,true,true,true
assisted-living/alabama/cities/valley/index.html,16325,false,16325,2248,2839,true,3265,true,5063,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/vernon/index.html,16299,false,16299,2248,2839,true,3259,true,5058,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/vestavia/index.html,16600,false,16600,2280,2871,true,3320,true,5144,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/wetumpka/index.html,16528,false,16528,2280,2871,true,3305,true,5129,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/winfield/index.html,16430,false,16430,2280,2871,true,3286,true,5110,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/york/index.html,16238,false,16238,2216,2807,true,3247,true,5020,true,Local Data Signals,2969,true,true,true
assisted-living/alabama/index.html,23956,false,23956,2159,2750,true,4791,true,6518,true,Statewide Data Signals,2911,true,true,true
assisted-living/alaska/cities/anchorage/index.html,18894,false,18894,2291,2882,true,3778,true,5611,true,Local Data Signals,3049,true,true,true
assisted-living/alaska/cities/bethel/index.html,16246,false,16246,2243,2834,true,3249,true,5043,true,Local Data Signals,2998,true,true,true
assisted-living/alaska/cities/cordova/index.html,16259,false,16259,2259,2850,true,3251,true,5059,true,Local Data Signals,3015,true,true,true
assisted-living/alaska/cities/fairbanks/index.html,16373,false,16373,2291,2882,true,3274,true,5107,true,Local Data Signals,3049,true,true,true
assisted-living/alaska/cities/homer/index.html,16154,false,16154,2227,2818,true,3230,true,5012,true,Local Data Signals,2981,true,true,true
assisted-living/alaska/cities/juneau/index.html,16190,false,16190,2243,2834,true,3238,true,5032,true,Local Data Signals,2998,true,true,true
